n,date,title,author,url
1,2004-10-31,Just Friends? Let Me Read Between the Lines,Steve Friedman,https://www.nytimes.com/2004/10/31/fashion/just-friends-let-me-read-between-the-lines.html
2,2004-11-07,"A Body Scarred, a Marriage Healed",Autumn Stephens,https://www.nytimes.com/2004/11/07/fashion/a-body-scarred-a-marriage-healed.html
3,2004-11-14,Traveling the Too-Much-Information Highway,Heather L. Hunter,https://www.nytimes.com/2004/11/14/fashion/traveling-the-toomuchinformation-highway.html
4,2004-11-21,"The Chicken's in the Oven, My Husband's Out the Door",Theo Pauline Nestor,https://www.nytimes.com/2004/11/21/fashion/the-chickens-in-the-oven-my-husbands-out-the-door.html
5,2004-11-28,"Jill and Jill Live on the Hill, but One Must Boil the Water",Tzivia Gover,https://www.nytimes.com/2004/11/28/fashion/jill-and-jill-live-on-the-hill-but-one-must-boil-the-water.html
6,2004-12-05,"Dedicated to Two Women, Only One of Them Alive",Brendan Halpin,https://www.nytimes.com/2004/12/05/fashion/dedicated-to-two-women-only-one-of-them-alive.html
7,2004-12-12,"Our Bodies, Our Imaginations",Jean Braithwaite,https://www.nytimes.com/2004/12/12/fashion/our-bodies-our-imaginations.html
8,2004-12-19,Two Beds in Motel Natchitoches,Katherine Tanney,https://www.nytimes.com/2004/12/19/fashion/two-beds-in-motel-natchitoches.html
9,2004-12-26,"Hear That Wedding March Often Enough, You Fall in Step",Larry Smith,https://www.nytimes.com/2004/12/26/fashion/hear-that-wedding-march-often-enough-you-fall-in-step.html
10,2005-01-02,MODERN LOVE,Rich Cohen,https://www.nytimes.com/2005/01/02/garden/modern-love.html
11,2005-01-09,Sometimes a Model Girlfriend Shouldn't,Kelly McMasters,https://www.nytimes.com/2005/01/09/fashion/sometimes-a-model-girlfriend-shouldnt.html
12,2005-01-16,Witness to a Wedding That Wasn't,Jennie Yabroff,https://www.nytimes.com/2005/01/16/fashion/witness-to-a-wedding-that-wasnt.html
